columna,columna_mostrada,tipo_asignado,faltantes,porcentaje_faltantes,unicos
 ,'<NBSP>',str,11867,100.00,1
CODIGO,CODIGO,str,0,0.00,11867
DISTRITO,DISTRITO,str,532,4.48,1683
DEPARTAMENTO,DEPARTAMENTO,str,0,0.00,23
MUNICIPIO,MUNICIPIO,str,0,0.00,352
ESTABLECIMIENTO,ESTABLECIMIENTO,str,5,0.04,6668
DIRECCION,DIRECCION,str,81,0.68,7528
TELEFONO,TELEFONO,str,946,7.97,6572
SUPERVISOR,SUPERVISOR,str,535,4.51,1290
DIRECTOR,DIRECTOR,str,1830,15.42,5572
NIVEL,NIVEL,str,0,0.00,1
SECTOR,SECTOR,str,0,0.00,4
AREA,AREA,str,0,0.00,3
STATUS,STATUS,str,0,0.00,5
MODALIDAD,MODALIDAD,str,0,0.00,2
JORNADA,JORNADA,str,0,0.00,6
PLAN,PLAN,str,0,0.00,13
DEPARTAMENTAL,DEPARTAMENTAL,str,0,0.00,26
archivo_origen,archivo_origen,str,0,0.00,23
departamento_origen,departamento_origen,str,0,0.00,23
